external_id,date,market,instrument,direction,entry,exit,r_multiple,percentage,result,published,notes,screenshot
demo-2026-001,2026-07-01,Crypto,BTC/USD,Long,64250,66120,1.35,2.91,Win,true,Demo trend continuation from daily demand,
demo-2026-002,2026-07-03,Forex,EUR/USD,Short,1.0924,1.0961,-0.75,-0.34,Loss,true,Demo invalidation after London reversal,
demo-2026-003,2026-07-05,Stocks,NVDA,Long,128.40,134.90,2.1,5.06,Win,true,Demo earnings momentum continuation,
demo-2026-004,2026-07-08,Commodities,XAU/USD,Long,2342.20,2368.80,1.65,1.14,Win,true,Demo gold demand reclaim,
demo-2026-005,2026-07-11,Crypto,ETH/USD,Long,3380,3315,-0.9,-1.92,Loss,true,Demo failed breakout retest,
demo-2026-006,2026-07-15,Indices,SPX500,Long,5488,5556,1.2,1.24,Win,true,Demo index continuation after range reclaim,
demo-2026-007,2026-07-18,Stocks,AMD,Short,166.20,160.80,1.8,3.25,Win,true,Demo supply rejection,
demo-2026-008,2026-07-22,Forex,GBP/USD,Long,1.2765,1.2828,1.4,0.49,Win,true,Demo session liquidity sweep,
demo-2026-009,2026-07-25,Commodities,XAG/USD,Short,30.42,30.86,-0.6,-1.45,Loss,true,Demo silver failed breakdown,
demo-2026-010,2026-07-29,Crypto,BTC/USD,Long,67400,69680,2.25,3.38,Win,true,Demo higher-low continuation,
demo-2026-011,2026-08-02,Stocks,NVDA,Long,137.20,136.10,-0.35,-0.80,Loss,true,Demo tight invalidation hit,
demo-2026-012,2026-08-06,Commodities,XAU/USD,Long,2388.50,2426.40,2.6,1.59,Win,true,Demo expansion after liquidity sweep,
